Year,Month,Shipping_Mode,Total_Sales,Total_Orders
2015,1,First Class,121905.66210746765,628
2015,1,Same Day,51134.05104446411,250
2015,1,Second Class,190649.72359275818,952
2015,1,Standard Class,566864.4410514832,2867
2015,2,First Class,147579.5929660797,748
2015,2,Same Day,46569.2808971405,245
2015,2,Second Class,191132.1938533783,950
2015,2,Standard Class,551480.7306156158,2840
2015,3,First Class,173321.8431854248,878
2015,3,Same Day,62823.6212310791,305
2015,3,Second Class,202980.40402793884,1051
2015,3,Standard Class,601474.8917808533,3079
2015,4,First Class,128528.60252571106,664
2015,4,Same Day,46689.50086975098,243
2015,4,Second Class,210728.27402305603,1061
2015,4,Standard Class,630230.2722206116,3166
2015,5,First Class,193891.53372383118,984
2015,5,Same Day,50185.370962142944,262
2015,5,Second Class,176916.65340423584,914
2015,5,Standard Class,618230.771938324,3137
2015,6,First Class,143274.9028148651,735
2015,6,Same Day,52436.51096916199,255
2015,6,Second Class,198563.7939338684,991
2015,6,Standard Class,630860.6020698547,3180
2015,7,First Class,152856.1929912567,789
2015,7,Same Day,74584.47138977051,381
2015,7,Second Class,199235.85383796692,1007
2015,7,Standard Class,626389.9423027039,3184
2015,8,First Class,168464.46341896057,850
2015,8,Same Day,53139.7710609436,269
2015,8,Second Class,212951.77426719666,1066
2015,8,Standard Class,586981.2816791534,3051
2015,9,First Class,167723.93334960938,829
2015,9,Same Day,48047.41095352173,241
2015,9,Second Class,205835.68404579163,1060
2015,9,Standard Class,605563.7317790985,3067
2015,10,First Class,182308.02361488342,913
2015,10,Same Day,52011.831007003784,262
2015,10,Second Class,192994.03369140625,983
2015,10,Standard Class,609899.2118167877,3076
2015,11,First Class,154351.86299705505,761
2015,11,Same Day,50668.97099685669,268
2015,11,Second Class,198452.4640789032,1003
2015,11,Standard Class,627542.272567749,3206
2015,12,First Class,158031.22309875488,816
2015,12,Same Day,65458.1411857605,334
2015,12,Second Class,210985.1443271637,1057
2015,12,Standard Class,621246.9120750427,3144
2016,1,First Class,164580.79319000244,819
2016,1,Same Day,59524.43109512329,320
2016,1,Second Class,217415.88443756104,1102
2016,1,Standard Class,615143.9919338226,3127
2016,2,First Class,140180.91255950928,706
2016,2,Same Day,45753.25092506409,238
2016,2,Second Class,185994.61372756958,967
2016,2,Standard Class,596932.331653595,2996
2016,3,First Class,170519.44333457947,868
2016,3,Same Day,56184.201068878174,276
2016,3,Second Class,180651.54366874695,938
2016,3,Standard Class,621608.8828773499,3147
2016,4,First Class,144538.49275398254,759
2016,4,Same Day,48785.98079872131,256
2016,4,Second Class,208748.25418281555,1064
2016,4,Standard Class,612137.8522872925,3063
2016,5,First Class,157534.44292640686,795
2016,5,Same Day,61593.96124458313,321
2016,5,Second Class,198946.94400978088,1052
2016,5,Standard Class,591682.6320438385,3029
2016,6,First Class,157378.18314361572,813
2016,6,Same Day,53846.04113769531,270
2016,6,Second Class,223428.94457244873,1109
2016,6,Standard Class,574297.5613899231,2910
2016,7,First Class,159250.98317718506,805
2016,7,Same Day,64144.22138595581,328
2016,7,Second Class,184462.4736289978,935
2016,7,Standard Class,635058.692533493,3228
2016,8,First Class,163412.69327545166,820
2016,8,Same Day,50104.12099647522,261
2016,8,Second Class,209941.23420906067,1072
2016,8,Standard Class,612210.3623504639,3124
2016,9,First Class,161507.25325012207,839
2016,9,Same Day,50847.6509437561,272
2016,9,Second Class,191822.6437587738,990
2016,9,Standard Class,604098.5622024536,3074
2016,10,First Class,162812.5231628418,859
2016,10,Same Day,71519.56135749817,350
2016,10,Second Class,184648.66365242004,958
2016,10,Standard Class,637731.3823108673,3259
2016,11,First Class,155633.6732788086,769
2016,11,Same Day,54226.530992507935,278
2016,11,Second Class,211588.45422935486,1069
2016,11,Standard Class,612739.1022834778,3060
2016,12,First Class,189579.8337173462,969
2016,12,Same Day,46050.44087600708,237
2016,12,Second Class,187301.53358078003,941
2016,12,Standard Class,620274.632068634,3160
2017,1,First Class,133844.32272720337,673
2017,1,Same Day,52838.951025009155,264
2017,1,Second Class,202216.51397132874,1012
2017,1,Standard Class,648435.0626678467,3269
2017,2,First Class,150629.34274482727,732
2017,2,Same Day,56635.17106628418,291
2017,2,Second Class,191766.31349754333,941
2017,2,Standard Class,587133.6712360382,2929
2017,3,First Class,170412.5932445526,856
2017,3,Same Day,58736.51119041443,310
2017,3,Second Class,196564.11409378052,1016
2017,3,Standard Class,626364.3426952362,3162
2017,4,First Class,147826.16309928894,745
2017,4,Same Day,45155.550870895386,243
2017,4,Second Class,211560.78422546387,1072
2017,4,Standard Class,618203.3323230743,3115
2017,5,First Class,190309.55366516113,919
2017,5,Same Day,55584.56107711792,270
2017,5,Second Class,191345.8941192627,931
2017,5,Standard Class,672120.7530479431,3229
2017,6,First Class,151082.60305404663,706
2017,6,Same Day,51037.8010559082,245
2017,6,Second Class,193261.88389968872,952
2017,6,Standard Class,653256.3828125,3116
2017,7,First Class,162188.0128250122,798
2017,7,Same Day,77113.51153564453,368
2017,7,Second Class,218543.62434768677,1068
2017,7,Standard Class,639544.4221076965,3063
2017,8,First Class,170349.89339447021,824
2017,8,Same Day,55779.4009513855,273
2017,8,Second Class,222254.97427749634,1079
2017,8,Standard Class,653433.6625099182,3100
2017,9,First Class,173280.96292114258,783
2017,9,Same Day,58985.901107788086,277
2017,9,Second Class,225610.66359329224,1041
2017,9,Standard Class,657866.850517273,3066
2017,10,First Class,170544.79182338715,399
2017,10,Same Day,41734.27036190033,114
2017,10,Second Class,165220.81218242645,492
2017,10,Standard Class,551325.8262386322,1628
2017,11,First Class,105466.3020324707,296
2017,11,Same Day,35506.080741882324,110
2017,11,Second Class,165908.29266357422,400
2017,11,Standard Class,580241.2789611816,1256
2017,12,First Class,69418.77112293243,325
2017,12,Same Day,18787.150358200073,129
2017,12,Second Class,97647.01102161407,422
2017,12,Standard Class,277478.5523519516,1237
2018,1,First Class,55748.800800323486,323
2018,1,Same Day,18264.620259284973,120
2018,1,Second Class,74138.05122470856,436
2018,1,Standard Class,210925.06312084198,1242
2018,2,First Class,4100.580139160156,19
2018,2,Same Day,39.75,1
2018,2,Second Class,13028.700439453125,62
2018,2,Standard Class,35381.63118648529,166
